GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab001,Automovil,Automovil,2,35,1,1,1,6,1,2,0,2
lab001,Camion,Camion,2,37,1,1,1,6,1,2,0,2
lab001,Vehiculo,Vehiculo,0,85,0,2,0,19,0,9,0,8
